Phase,Mag,MagErr,Curve,
0.000061,13.814688,0.005,13.82991,
0.001033,13.833606,0.005,13.829696,
0.001224,13.820165,0.007,13.829651,13.829651
0.001313,13.824681,0.005,13.829629,
0.002239,13.829599,0.005,13.829393,
0.00248,13.832159,0.007,13.829327,
0.002523,13.826674,0.005,13.829315,
0.00345,13.845591,0.005,13.829046,
0.003686,13.836152,0.007,13.828973,
0.003761,13.815667,0.005,13.82895,
0.004715,13.840584,0.005,13.828639,
0.004906,13.824146,0.007,13.828573,
0.005008,13.822661,0.005,13.828538,
0.00593,13.817577,0.005,13.828204,
0.006144,13.816139,0.007,13.828123,
0.006223,13.836654,0.005,13.828093,
0.007145,13.82657,0.005,13.827728,
0.00747,13.837647,0.005,13.827593,
0.008406,13.839563,0.005,13.827189,
0.008722,13.83064,0.005,13.827046,
0.00963,13.835555,0.005,13.826622,
0.009932,13.827634,0.005,13.826475,
0.011157,13.827627,0.005,13.825856,
0.013958,13.83353,0.005,13.824279,
0.015187,13.823523,0.005,13.823518,
0.015731,13.834602,0.005,13.823168,
0.017021,13.81508,0.007,13.822304,
0.017644,13.820509,0.005,13.82187,
0.018179,13.813588,0.005,13.82149,
0.018259,13.817074,0.007,13.821432,
0.018882,13.812501,0.005,13.820977,
0.019431,13.824581,0.005,13.820569,
0.01947,13.815067,0.007,13.820539,
0.020129,13.808494,0.005,13.820035,
0.020685,13.82106,0.007,13.819602,
0.020687,13.821575,0.005,13.819601,
0.021354,13.820487,0.005,13.81907,
0.021932,13.816054,0.007,13.818599,
0.021934,13.816568,0.005,13.818598,
0.022569,13.83348,0.005,13.818071,
0.023147,13.816047,0.007,13.817582,
0.023163,13.819561,0.005,13.817568,
0.023816,13.816473,0.005,13.817005,
0.024376,13.817041,0.007,13.816513,
0.02441,13.816554,0.005,13.816483,
0.025031,13.799466,0.005,13.815926,
0.025618,13.827034,0.007,13.815391,
0.025634,13.803547,0.005,13.815377,
0.026264,13.809458,0.005,13.814792,
0.026861,13.815027,0.007,13.814229,
0.026867,13.824541,0.005,13.814223,
0.02752,13.814451,0.005,13.813595,
0.028071,13.822021,0.007,13.813058,
0.028091,13.819534,0.005,13.813038,
0.028722,13.835444,0.005,13.812413,
0.029316,13.823527,0.005,13.811815,
0.029332,13.824014,0.007,13.811798,
0.02996,13.824437,0.005,13.811156,
0.030533,13.805007,0.007,13.81056,
0.030544,13.82252,0.005,13.810548,
0.031211,13.818429,0.005,13.809845,
0.031758,13.810001,0.007,13.80926,
0.031791,13.812514,0.005,13.809224,
0.033007,13.807507,0.005,13.807896,
0.033009,13.806994,0.007,13.807893,
0.03422,13.793987,0.007,13.806534,
0.035535,13.812404,0.005,13.805017,
0.036777,13.816397,0.005,13.803545,
0.037262,13.796484,0.005,13.802961,
0.03802,13.80539,0.005,13.802037,
0.038484,13.799964,0.007,13.801463,
0.038513,13.799477,0.005,13.801427,
0.039253,13.799382,0.005,13.800503,
0.039728,13.78647,0.005,13.799902,
0.03974,13.803958,0.007,13.799888,
0.040468,13.802375,0.005,13.798958,
0.040951,13.787951,0.007,13.798335,
0.040971,13.791463,0.005,13.798308,
0.04172,13.816368,0.005,13.797331,
0.042161,13.784945,0.007,13.796748,
0.042213,13.812456,0.005,13.796679,
0.04293,13.806361,0.005,13.795724,
0.043404,13.793938,0.007,13.795086,
0.043424,13.78845,0.005,13.795059,
0.044168,13.799354,0.005,13.794046,
0.044619,13.791931,0.007,13.793427,
0.044639,13.791443,0.005,13.793399,
0.045429,13.786346,0.005,13.792304,
0.045861,13.785925,0.007,13.791698,
0.045895,13.809436,0.005,13.791651,
0.046699,13.787339,0.005,13.790514,
0.047106,13.794429,0.005,13.789933,
0.047113,13.783918,0.007,13.789923,
0.047914,13.789332,0.005,13.78877,
0.048321,13.788423,0.005,13.788179,
0.048323,13.782911,0.007,13.788175,
0.049165,13.789324,0.005,13.786941,
0.049548,13.778905,0.007,13.786376,
0.049572,13.797416,0.005,13.78634,
0.050417,13.787317,0.005,13.785081,
0.050788,13.780409,0.005,13.784524,
0.050799,13.785898,0.007,13.784506,
0.051646,13.79131,0.005,13.783224,
0.052012,13.773402,0.005,13.782665,
0.052014,13.792891,0.007,13.782661,
0.052883,13.777303,0.005,13.781323,
0.053248,13.775885,0.007,13.780758,
0.053254,13.789396,0.005,13.780748,
0.054456,13.790389,0.005,13.778867,
0.054486,13.786878,0.007,13.77882,
0.055701,13.765871,0.007,13.776889,
0.057175,13.772278,0.005,13.774511,
0.058431,13.77127,0.005,13.772454,
0.05908,13.766364,0.005,13.771382,
0.059678,13.776263,0.005,13.770386,
0.059961,13.782848,0.007,13.769913,
0.060299,13.783357,0.005,13.769345,
0.060902,13.772256,0.005,13.768329,
0.061203,13.777842,0.007,13.767821,
0.061537,13.76335,0.005,13.767253,
0.062159,13.766248,0.005,13.766194,
0.062418,13.768835,0.007,13.765749,
0.06341,13.765241,0.005,13.764041,
0.063629,13.768829,0.007,13.763663,
0.063999,13.769337,0.005,13.763019,
0.064625,13.768234,0.005,13.761928,
0.064876,13.782822,0.007,13.76149,
0.065228,13.76333,0.005,13.760871,
0.065877,13.769227,0.005,13.759728,
0.0661,13.771815,0.007,13.759334,
0.066475,13.783323,0.005,13.758669,
0.06711,13.77922,0.005,13.757539,
0.067333,13.759809,0.007,13.75714,
0.067695,13.754316,0.005,13.756493,
0.068576,13.761802,0.007,13.754908,
0.068919,13.750309,0.005,13.754288,
0.069531,13.761205,0.005,13.753178,
0.069796,13.745795,0.007,13.752697,
0.070166,13.747303,0.005,13.752021,
0.070774,13.757198,0.005,13.75091,
0.071029,13.745789,0.007,13.750442,
0.071377,13.762296,0.005,13.749802,
0.071993,13.751191,0.005,13.748664,
0.072271,13.764782,0.007,13.74815,
0.072624,13.751289,0.005,13.747497,
0.073236,13.742184,0.005,13.746358,
0.073491,13.743775,0.007,13.745882,
0.07388,13.749282,0.005,13.745156,
0.074478,13.748176,0.005,13.744034,
0.07472,13.743769,0.007,13.74358,
0.07509,13.753275,0.005,13.742883,
0.07598,13.738762,0.007,13.741201,
0.076306,13.756269,0.005,13.740585,
0.077191,13.747755,0.007,13.7389,
0.08133,13.739241,0.005,13.730926,
0.081428,13.740732,0.007,13.730735,
