Curve,Frame
13.82991,0.005856
13.829696,0.099168
13.829651,0.117504
13.829629,0.126048
13.829393,0.214944
13.829327,0.23808
13.829315,0.242208
13.829046,0.3312
13.828973,0.353856
13.82895,0.361056
13.828639,0.45264
13.828573,0.470976
13.828538,0.480768
13.828204,0.56928
13.828123,0.589824
13.828093,0.597408
13.827728,0.68592
13.827593,0.71712
13.827189,0.806976
13.827046,0.837312
13.826622,0.92448
13.826475,0.953472
13.825856,1.071072
13.824279,1.339968
13.823518,1.457952
13.823168,1.510176
13.822304,1.634016
13.82187,1.693824
13.82149,1.745184
13.821432,1.752864
13.820977,1.812672
13.820569,1.865376
13.820539,1.86912
13.820035,1.932384
13.819602,1.98576
13.819601,1.985952
13.81907,2.049984
13.818599,2.105472
13.818598,2.105664
13.818071,2.166624
13.817582,2.222112
13.817568,2.223648
13.817005,2.286336
13.816513,2.340096
13.816483,2.34336
13.815926,2.402976
13.815391,2.459328
13.815377,2.460864
13.814792,2.521344
13.814229,2.578656
13.814223,2.579232
13.813595,2.64192
13.813058,2.694816
13.813038,2.696736
13.812413,2.757312
13.811815,2.814336
13.811798,2.815872
13.811156,2.87616
13.81056,2.931168
13.810548,2.932224
13.809845,2.996256
13.80926,3.048768
13.809224,3.051936
13.807896,3.168672
13.807893,3.168864
13.806534,3.28512
13.805017,3.41136
13.803545,3.530592
13.802961,3.577152
13.802037,3.64992
13.801463,3.694464
13.801427,3.697248
13.800503,3.768288
13.799902,3.813888
13.799888,3.81504
13.798958,3.884928
13.798335,3.931296
13.798308,3.933216
13.797331,4.00512
13.796748,4.047456
13.796679,4.052448
13.795724,4.12128
13.795086,4.166784
13.795059,4.168704
13.794046,4.240128
13.793427,4.283424
13.793399,4.285344
13.792304,4.361184
13.791698,4.402656
13.791651,4.40592
13.790514,4.483104
13.789933,4.522176
13.789923,4.522848
13.78877,4.599744
13.788179,4.638816
13.788175,4.639008
13.786941,4.71984
13.786376,4.756608
13.78634,4.758912
13.785081,4.840032
13.784524,4.875648
13.784506,4.876704
